wp,fresh_mass_g,extra_mass_g,dry_mass_g,var,obs,leaf_area_cm2,rep,time
34.8,2.0616,,,pear,9,,1,September
39.3,2.0519,,,pear,10,,1,September
1.7,2.2741,,,pear,1,,2,September
6,2.2543,,,pear,2,,2,September
9.2,2.2432,,,pear,3,,2,September
19.1,2.2174,,,pear,4,,2,September
22.7,2.2029,,,pear,5,,2,September
27,2.1848,,,pear,6,,2,September
31,2.17,,,pear,7,,2,September
34.8,2.1551,,,pear,8,,2,September
39.1,2.1391,,,pear,9,,2,September
42.7,2.1234,,,pear,10,,2,September
1.7,2.4348,,,pear,1,,3,September
11.5,2.4168,,,pear,2,,3,September
23.5,2.3885,,,pear,3,,3,September
27.6,2.3756,,,pear,4,,3,September
34.2,2.355,,,pear,5,,3,September
35.2,2.3483,,,pear,6,,3,September
42.6,2.3283,,,pear,7,,3,September
49.5,2.3119,,,pear,8,,3,September
53.5,2.2945,,,pear,9,,3,September
87,2.2764,,,pear,10,,3,September
1.4,1.8985,,,pear,1,,4,September
10.3,1.8856,,,pear,2,,4,September
22.9,1.8636,,,pear,3,,4,September
26.3,1.8552,,,pear,4,,4,September
33.1,1.8406,,,pear,5,,4,September
33.5,1.8336,,,pear,6,,4,September
40.1,1.8178,,,pear,7,,4,September
44,1.8072,,,pear,8,,4,September
48.9,1.7948,,,pear,9,,4,September
70.1,1.7797,,,pear,10,,4,September
0.7,2.0327,,,pear,1,,5,September
4.2,2.0233,,,pear,2,,5,September
8.2,2.0105,,,pear,3,,5,September
10.6,2.0039,,,pear,4,,5,September
17.4,1.9886,,,pear,5,,5,September
21.5,1.975,,,pear,6,,5,September
27.1,1.9629,,,pear,7,,5,September
30.6,1.9507,,,pear,8,,5,September
34.8,1.9387,,,pear,9,,5,September
43.4,1.919,,,pear,10,,5,September
0.8,7.0805,,,pear,1,,8,September
2.4,7.079,,,pear,2,,8,September
7.6,7.0653,,,pear,3,,8,September
9.2,7.0605,,,pear,4,,8,September
14,7.0519,,,pear,5,,8,September
17,7.046,,,pear,6,,8,September
24.2,7.0325,,,pear,7,,8,September
28.8,7.0234,,,pear,8,,8,September
31,7.0169,,,pear,9,,8,September
37,7.0078,,,pear,10,,8,September
41.7,6.9954,,,pear,11,,8,September
,6.9862,,,pear,12,,8,September
2.4,7.0578,,,pear,1,,9,September
4.6,7.0524,,,pear,2,,9,September
10.9,7.0404,,,pear,3,,9,September
14,7.0364,,,pear,4,,9,September
20.6,7.0232,,,pear,5,,9,September
22.6,7.02,,,pear,6,,9,September
29,7.0043,,,pear,7,,9,September
32,6.9971,,,pear,8,,9,September
34.5,6.988,,,pear,9,,9,September
42.8,6.9747,,,pear,10,,9,September
46,6.9673,,,pear,11,,9,September
